timestamp,server,cpu_idle,memory_idle,tasks_in_progress
2025-03-27 13:53:52,server1,82.16,86.84,0
2025-03-27 13:53:52,server2,73.82,82.49,1
2025-03-27 13:53:52,server3,76.41,84.48,0
2025-03-27 13:53:53,server1,82.16,86.84,0
2025-03-27 13:53:53,server2,73.82,82.49,1
2025-03-27 13:53:53,server3,76.41,84.48,0
2025-03-27 13:53:54,server1,82.16,86.84,0
2025-03-27 13:53:54,server2,73.82,82.49,1
2025-03-27 13:53:54,server3,76.41,84.48,0
2025-03-27 13:53:55,server1,82.16,86.84,0
2025-03-27 13:53:55,server2,73.82,82.49,1
2025-03-27 13:53:55,server3,76.41,84.48,0
2025-03-27 13:53:56,server1,82.16,86.84,0
2025-03-27 13:53:56,server2,73.82,82.49,1
2025-03-27 13:53:56,server3,76.41,84.48,0
2025-03-27 13:53:57,server1,82.16,86.84,0
2025-03-27 13:53:57,server2,73.82,82.49,1
2025-03-27 13:53:57,server3,76.41,84.48,0
2025-03-27 13:53:58,server1,82.16,86.84,0
2025-03-27 13:53:58,server2,73.82,82.49,1
2025-03-27 13:53:58,server3,76.41,84.48,0
2025-03-27 13:53:59,server1,82.16,86.84,0
2025-03-27 13:53:59,server2,73.82,82.49,1
2025-03-27 13:53:59,server3,76.41,84.48,0
2025-03-27 13:54:00,server1,82.16,86.84,0
2025-03-27 13:54:00,server2,73.82,82.49,1
2025-03-27 13:54:00,server3,76.41,84.48,0
2025-03-27 13:54:01,server1,82.16,86.84,0
2025-03-27 13:54:01,server2,73.82,82.49,1
2025-03-27 13:54:01,server3,76.41,84.48,0
2025-03-27 13:54:02,server1,82.16,86.84,0
2025-03-27 13:54:02,server2,73.82,82.49,1
2025-03-27 13:54:02,server3,76.41,84.48,0
2025-03-27 13:54:04,server1,82.16,86.84,0
2025-03-27 13:54:04,server2,73.82,82.49,1
2025-03-27 13:54:04,server3,76.41,84.48,0
2025-03-27 13:54:05,server1,70.18,78.42,1
2025-03-27 13:54:05,server2,77.71,86.43,0
2025-03-27 13:54:05,server3,76.41,84.48,0
2025-03-27 13:54:06,server1,70.18,78.42,1
2025-03-27 13:54:06,server2,77.71,86.43,0
2025-03-27 13:54:06,server3,76.41,84.48,0
2025-03-27 13:54:07,server1,70.18,78.42,1
2025-03-27 13:54:07,server2,77.71,86.43,0
2025-03-27 13:54:07,server3,76.41,84.48,0
2025-03-27 13:54:08,server1,70.18,78.42,1
2025-03-27 13:54:08,server2,77.71,86.43,0
2025-03-27 13:54:08,server3,76.41,84.48,0
2025-03-27 13:54:09,server1,70.18,78.42,1
2025-03-27 13:54:09,server2,77.71,86.43,0
2025-03-27 13:54:09,server3,76.41,84.48,0
2025-03-27 13:54:10,server1,70.18,78.42,1
2025-03-27 13:54:10,server2,77.71,86.43,0
2025-03-27 13:54:10,server3,76.41,84.48,0
2025-03-27 13:54:11,server1,70.18,78.42,1
2025-03-27 13:54:11,server2,77.71,86.43,0
2025-03-27 13:54:11,server3,76.41,84.48,0
2025-03-27 13:54:12,server1,70.18,78.42,1
2025-03-27 13:54:12,server2,77.71,86.43,0
2025-03-27 13:54:12,server3,76.41,84.48,0
2025-03-27 13:54:13,server1,70.18,78.42,1
2025-03-27 13:54:13,server2,77.71,86.43,0
2025-03-27 13:54:13,server3,76.41,84.48,0
2025-03-27 13:54:14,server1,70.18,78.42,1
2025-03-27 13:54:14,server2,77.71,86.43,0
2025-03-27 13:54:14,server3,76.41,84.48,0
2025-03-27 13:54:15,server1,70.18,78.42,1
2025-03-27 13:54:15,server2,77.71,86.43,0
2025-03-27 13:54:15,server3,76.41,84.48,0
2025-03-27 13:54:16,server1,70.18,78.42,1
2025-03-27 13:54:16,server2,77.71,86.43,0
2025-03-27 13:54:16,server3,76.41,84.48,0
2025-03-27 13:54:17,server1,74.39,81.72,0
2025-03-27 13:54:17,server2,77.71,86.43,0
2025-03-27 13:54:17,server3,76.41,84.48,0
2025-03-27 13:54:18,server1,74.39,81.72,0
2025-03-27 13:54:18,server2,66.1,79.24,1
2025-03-27 13:54:18,server3,76.41,84.48,0
2025-03-27 13:54:19,server1,74.39,81.72,0
2025-03-27 13:54:19,server2,66.1,79.24,1
2025-03-27 13:54:19,server3,76.41,84.48,0
2025-03-27 13:54:20,server1,74.39,81.72,0
2025-03-27 13:54:20,server2,66.1,79.24,1
2025-03-27 13:54:20,server3,76.41,84.48,0
2025-03-27 13:54:21,server1,74.39,81.72,0
2025-03-27 13:54:21,server2,66.1,79.24,1
2025-03-27 13:54:21,server3,76.41,84.48,0
2025-03-27 13:54:22,server1,74.39,81.72,0
2025-03-27 13:54:22,server2,66.1,79.24,1
2025-03-27 13:54:22,server3,76.41,84.48,0
2025-03-27 13:54:23,server1,74.39,81.72,0
2025-03-27 13:54:23,server2,66.1,79.24,1
2025-03-27 13:54:23,server3,76.41,84.48,0
2025-03-27 13:54:24,server1,74.39,81.72,0
2025-03-27 13:54:24,server2,66.1,79.24,1
2025-03-27 13:54:24,server3,76.41,84.48,0
2025-03-27 13:54:25,server1,74.39,81.72,0
2025-03-27 13:54:25,server2,66.1,79.24,1
2025-03-27 13:54:25,server3,76.41,84.48,0
2025-03-27 13:54:26,server1,74.39,81.72,0
2025-03-27 13:54:26,server2,66.1,79.24,1
2025-03-27 13:54:26,server3,76.41,84.48,0
2025-03-27 13:54:27,server1,74.39,81.72,0
2025-03-27 13:54:27,server2,66.1,79.24,1
2025-03-27 13:54:27,server3,76.41,84.48,0
2025-03-27 13:54:28,server1,74.39,81.72,0
2025-03-27 13:54:28,server2,66.1,79.24,1
2025-03-27 13:54:28,server3,76.41,84.48,0
2025-03-27 13:54:29,server1,74.39,81.72,0
2025-03-27 13:54:29,server2,66.1,79.24,1
2025-03-27 13:54:29,server3,76.41,84.48,0
2025-03-27 13:54:31,server1,74.39,81.72,0
2025-03-27 13:54:31,server2,66.1,79.24,1
2025-03-27 13:54:31,server3,76.41,84.48,0
2025-03-27 13:54:32,server1,74.39,81.72,0
2025-03-27 13:54:32,server2,69.54,83.64,0
2025-03-27 13:54:32,server3,67.72,75.44,1
2025-03-27 13:54:33,server1,74.39,81.72,0
2025-03-27 13:54:33,server2,69.54,83.64,0
2025-03-27 13:54:33,server3,67.72,75.44,1
2025-03-27 13:54:34,server1,74.39,81.72,0
2025-03-27 13:54:34,server2,69.54,83.64,0
2025-03-27 13:54:34,server3,67.72,75.44,1
2025-03-27 13:54:35,server1,74.39,81.72,0
2025-03-27 13:54:35,server2,69.54,83.64,0
2025-03-27 13:54:35,server3,67.72,75.44,1
2025-03-27 13:54:36,server1,74.39,81.72,0
2025-03-27 13:54:36,server2,69.54,83.64,0
2025-03-27 13:54:36,server3,67.72,75.44,1
2025-03-27 13:54:37,server1,74.39,81.72,0
2025-03-27 13:54:37,server2,69.54,83.64,0
2025-03-27 13:54:37,server3,67.72,75.44,1
2025-03-27 13:54:38,server1,74.39,81.72,0
2025-03-27 13:54:38,server2,69.54,83.64,0
2025-03-27 13:54:38,server3,67.72,75.44,1
2025-03-27 13:54:39,server1,74.39,81.72,0
2025-03-27 13:54:39,server2,69.54,83.64,0
2025-03-27 13:54:39,server3,67.72,75.44,1
2025-03-27 13:54:40,server1,74.39,81.72,0
2025-03-27 13:54:40,server2,69.54,83.64,0
2025-03-27 13:54:40,server3,67.72,75.44,1
2025-03-27 13:54:41,server1,74.39,81.72,0
2025-03-27 13:54:41,server2,69.54,83.64,0
2025-03-27 13:54:41,server3,67.72,75.44,1
2025-03-27 13:54:42,server1,74.39,81.72,0
2025-03-27 13:54:42,server2,69.54,83.64,0
2025-03-27 13:54:42,server3,67.72,75.44,1
2025-03-27 13:54:43,server1,74.39,81.72,0
2025-03-27 13:54:43,server2,69.54,83.64,0
2025-03-27 13:54:43,server3,67.72,75.44,1
2025-03-27 13:54:44,server1,74.39,81.72,0
2025-03-27 13:54:44,server2,69.54,83.64,0
2025-03-27 13:54:44,server3,67.72,75.44,1
2025-03-27 13:54:45,server1,65.9,73.81,1
2025-03-27 13:54:45,server2,69.54,83.64,0
2025-03-27 13:54:45,server3,72.21,77.68,0
2025-03-27 13:54:46,server1,65.9,73.81,1
2025-03-27 13:54:46,server2,69.54,83.64,0
2025-03-27 13:54:46,server3,72.21,77.68,0
2025-03-27 13:54:47,server1,65.9,73.81,1
2025-03-27 13:54:47,server2,69.54,83.64,0
2025-03-27 13:54:47,server3,72.21,77.68,0
2025-03-27 13:54:48,server1,65.9,73.81,1
2025-03-27 13:54:48,server2,69.54,83.64,0
2025-03-27 13:54:48,server3,72.21,77.68,0
2025-03-27 13:54:49,server1,65.9,73.81,1
2025-03-27 13:54:49,server2,69.54,83.64,0
2025-03-27 13:54:49,server3,72.21,77.68,0
2025-03-27 13:54:50,server1,65.9,73.81,1
2025-03-27 13:54:50,server2,69.54,83.64,0
2025-03-27 13:54:50,server3,72.21,77.68,0
2025-03-27 13:54:51,server1,65.9,73.81,1
2025-03-27 13:54:51,server2,69.54,83.64,0
2025-03-27 13:54:51,server3,72.21,77.68,0
2025-03-27 13:54:52,server1,65.9,73.81,1
2025-03-27 13:54:52,server2,69.54,83.64,0
2025-03-27 13:54:52,server3,72.21,77.68,0
2025-03-27 13:54:53,server1,65.9,73.81,1
2025-03-27 13:54:53,server2,69.54,83.64,0
2025-03-27 13:54:53,server3,72.21,77.68,0
2025-03-27 13:54:54,server1,65.9,73.81,1
2025-03-27 13:54:54,server2,69.54,83.64,0
2025-03-27 13:54:54,server3,72.21,77.68,0
2025-03-27 13:54:55,server1,65.9,73.81,1
2025-03-27 13:54:55,server2,69.54,83.64,0
2025-03-27 13:54:55,server3,72.21,77.68,0
2025-03-27 13:54:56,server1,69.04,75.86,0
2025-03-27 13:54:56,server2,69.54,83.64,0
2025-03-27 13:54:56,server3,72.21,77.68,0
2025-03-27 13:54:57,server1,69.04,75.86,0
2025-03-27 13:54:57,server2,59.76,75.18,1
2025-03-27 13:54:57,server3,72.21,77.68,0
2025-03-27 13:54:58,server1,69.04,75.86,0
2025-03-27 13:54:58,server2,59.76,75.18,1
2025-03-27 13:54:58,server3,72.21,77.68,0
2025-03-27 13:54:59,server1,69.04,75.86,0
2025-03-27 13:54:59,server2,59.76,75.18,1
2025-03-27 13:54:59,server3,72.21,77.68,0
2025-03-27 13:55:01,server1,69.04,75.86,0
2025-03-27 13:55:01,server2,59.76,75.18,1
2025-03-27 13:55:01,server3,72.21,77.68,0
2025-03-27 13:55:02,server1,69.04,75.86,0
2025-03-27 13:55:02,server2,59.76,75.18,1
2025-03-27 13:55:02,server3,72.21,77.68,0
2025-03-27 13:55:03,server1,69.04,75.86,0
2025-03-27 13:55:03,server2,59.76,75.18,1
2025-03-27 13:55:03,server3,72.21,77.68,0
2025-03-27 13:55:04,server1,69.04,75.86,0
2025-03-27 13:55:04,server2,59.76,75.18,1
2025-03-27 13:55:04,server3,72.21,77.68,0
2025-03-27 13:55:05,server1,69.04,75.86,0
2025-03-27 13:55:05,server2,59.76,75.18,1
2025-03-27 13:55:05,server3,72.21,77.68,0
2025-03-27 13:55:06,server1,69.04,75.86,0
2025-03-27 13:55:06,server2,59.76,75.18,1
2025-03-27 13:55:06,server3,72.21,77.68,0
2025-03-27 13:55:07,server1,69.04,75.86,0
2025-03-27 13:55:07,server2,59.76,75.18,1
2025-03-27 13:55:07,server3,72.21,77.68,0
2025-03-27 13:55:08,server1,69.04,75.86,0
2025-03-27 13:55:08,server2,59.76,75.18,1
2025-03-27 13:55:08,server3,72.21,77.68,0
2025-03-27 13:55:09,server1,69.04,75.86,0
2025-03-27 13:55:09,server2,59.76,75.18,1
2025-03-27 13:55:09,server3,72.21,77.68,0
2025-03-27 13:55:10,server1,69.04,75.86,0
2025-03-27 13:55:10,server2,59.76,75.18,1
2025-03-27 13:55:10,server3,72.21,77.68,0
2025-03-27 13:55:11,server1,69.04,75.86,0
2025-03-27 13:55:11,server2,59.76,75.18,1
2025-03-27 13:55:11,server3,72.21,77.68,0
2025-03-27 13:55:12,server1,69.04,75.86,0
2025-03-27 13:55:12,server2,59.76,75.18,1
2025-03-27 13:55:12,server3,72.21,77.68,0
2025-03-27 13:55:13,server1,69.04,75.86,0
2025-03-27 13:55:13,server2,62.91,79.58,0
2025-03-27 13:55:13,server3,72.21,77.68,0
2025-03-27 13:55:14,server1,69.04,75.86,0
2025-03-27 13:55:14,server2,62.91,79.58,0
2025-03-27 13:55:14,server3,61.96,68.21,1
2025-03-27 13:55:15,server1,69.04,75.86,0
2025-03-27 13:55:15,server2,62.91,79.58,0
2025-03-27 13:55:15,server3,61.96,68.21,1
2025-03-27 13:55:16,server1,69.04,75.86,0
2025-03-27 13:55:16,server2,62.91,79.58,0
2025-03-27 13:55:16,server3,61.96,68.21,1
2025-03-27 13:55:17,server1,69.04,75.86,0
2025-03-27 13:55:17,server2,62.91,79.58,0
2025-03-27 13:55:17,server3,61.96,68.21,1
2025-03-27 13:55:18,server1,69.04,75.86,0
2025-03-27 13:55:18,server2,62.91,79.58,0
2025-03-27 13:55:18,server3,61.96,68.21,1
2025-03-27 13:55:19,server1,69.04,75.86,0
2025-03-27 13:55:19,server2,62.91,79.58,0
2025-03-27 13:55:19,server3,61.96,68.21,1
2025-03-27 13:55:20,server1,69.04,75.86,0
2025-03-27 13:55:20,server2,62.91,79.58,0
2025-03-27 13:55:20,server3,61.96,68.21,1
2025-03-27 13:55:21,server1,69.04,75.86,0
2025-03-27 13:55:21,server2,62.91,79.58,0
2025-03-27 13:55:21,server3,61.96,68.21,1
2025-03-27 13:55:22,server1,69.04,75.86,0
2025-03-27 13:55:22,server2,62.91,79.58,0
2025-03-27 13:55:22,server3,61.96,68.21,1
2025-03-27 13:55:23,server1,69.04,75.86,0
2025-03-27 13:55:23,server2,62.91,79.58,0
2025-03-27 13:55:23,server3,61.96,68.21,1
2025-03-27 13:55:24,server1,69.04,75.86,0
2025-03-27 13:55:24,server2,62.91,79.58,0
2025-03-27 13:55:24,server3,61.96,68.21,1
2025-03-27 13:55:25,server1,69.04,75.86,0
2025-03-27 13:55:25,server2,62.91,79.58,0
2025-03-27 13:55:25,server3,61.96,68.21,1
2025-03-27 13:55:27,server1,69.04,75.86,0
2025-03-27 13:55:27,server2,62.91,79.58,0
2025-03-27 13:55:27,server3,65.64,72.29,0
2025-03-27 13:55:28,server1,60.46,69.86,1
2025-03-27 13:55:28,server2,62.91,79.58,0
